id,name,symptoms,description,treatments,medications
189,Shift Work Sleep Disorder,"Insomnia;Daytime sleepiness","Sleep disorder due to work schedule.","Sleep management","Melatonin"
190,Noise-Induced Hearing Loss,"Hearing difficulty;Tinnitus","Hearing damage from loud noise.","Hearing protection","No medication"
191,Barotrauma,"Ear pain;Pressure sensation","Injury from pressure changes.","Pressure equalization","Decongestants"
192,Diving-Related Illness,"Joint pain;Breathing difficulty","Illness related to diving pressure.","Oxygen therapy","Pain relievers"
193,Decompression Sickness,"Joint pain;Fatigue;Dizziness","Formation of gas bubbles in blood.","Hyperbaric oxygen therapy","Oxygen"
194,Radiation Sickness,"Nausea;Hair loss;Weakness","Damage caused by radiation exposure.","Supportive care","Antiemetics"
195,Chemical Burn,"Skin irritation;Pain;Blisters","Tissue damage from chemicals.","Immediate washing;Medical care","Antibiotics"
196,Carbon Monoxide Poisoning,"Headache;Dizziness;Nausea","Poisoning from carbon monoxide.","Oxygen therapy","Oxygen"
197,Lead Poisoning,"Abdominal pain;Memory problems;Fatigue","Toxic lead accumulation in body.","Chelation therapy","Chelating agents"
198,Mercury Poisoning,"Tremors;Memory loss;Irritability","Toxic mercury exposure.","Chelation therapy","Chelating agents"
199,Arsenic Poisoning,"Vomiting;Diarrhea;Skin changes","Toxic arsenic exposure.","Medical treatment","Chelating agents"
200,Pesticide Poisoning,"Nausea;Dizziness;Breathing difficulty","Toxic exposure to pesticides.","Emergency care","Atropine"
